,title,label,platform
33,Emmy Host Kimmel Calls Out Dude Who Made Trump A REALity TV Star For Helping Destroy America (VIDEO),REAL,buzzfeed
34,Trump-Clinton debates will stream on Twitter,REAL,buzzfeed
35,Biden Slams Trump's Comment That Housing Crisis Was 'Good Business',REAL,buzzfeed
36,National poll: Clinton leads Trump by 6,REAL,buzzfeed
37,Outraged Parents File Lawsuit: <U+201C>Public School Forced My Child To,REAL,buzzfeed
38,ABC News,REAL,buzzfeed
39,How to watch the first presidential debate,REAL,buzzfeed
40,Topics for first presidential debate announced,REAL,buzzfeed
41,"KISS Bassist Gene Simmons on How to Stop Islamic Terrorism: ""PROFILE"" [VIDEO]",REAL,buzzfeed
42,Clinton plans to develop national standards to manage police shootings,REAL,buzzfeed
43,Conway: Trump will explain his Islamic State plan if asked,REAL,buzzfeed
44,Obama: 'We all have a role to play' in terror fight,REAL,buzzfeed
45,Obama: Refugee crisis is test of our humanity,REAL,buzzfeed
46,Trump labels Clinton 'weak and ineffective' in wake of bombings,REAL,buzzfeed
47,In Defense of <U+2018>He Said/She Said<U+2019> Journalism,REAL,buzzfeed
48,Inmate Dead From Alleged Mistreatment In Jail Run By Infamous Pro-Trump Sheriff,REAL,buzzfeed
49,Debate Commission STUNS Journalists By Siding With Trump: Fact Checking Is Out Of Bounds (VIDEO),REAL,buzzfeed
50,Trump camp: <U+2018>Donald Trump is guilty of answering the question asked<U+2019>,REAL,buzzfeed
51,France becomes the first country to ban plastic plates and cutlery,REAL,buzzfeed
52,Ryan ducks on stop-and-frisk,REAL,buzzfeed
53,Charlotte Police REVEAL What They Said To Black Man Just Moments Before Shooting... | John Hawkins' Right Wing News,REAL,buzzfeed
54,Kaine visits site of Orlando mass shooting,REAL,buzzfeed
55,Obama weighs in on the debate,REAL,buzzfeed
56,How Trump Is Hiding From The Media Like A Total Coward,REAL,buzzfeed
57,Hillary Wants to Know: <U+201C>Why Aren<U+2019>t I 50 Points Ahead?<U+201D>,REAL,buzzfeed
58,Bobby Knight: Nobody can 'correct mistakes' like Trump,REAL,buzzfeed
59,BREAKING: Pipe Bombs Found in New Jersey Train Station | John Hawkins' Right Wing News,REAL,buzzfeed
60,Clinton on Between Two Ferns: 'REALly regret doing this',REAL,buzzfeed
61,Magistrate won't order federal arraignment for bombing suspect,REAL,buzzfeed
62,US: ISIS did not use mustard agent in base attack,REAL,buzzfeed
63,"Terrorist Attacks Likely to Affect 2016 Race, Experts Say",REAL,buzzfeed
64,Everything you need to know about Trump and Clinton<U+2019>s first 2016 presidential debate,REAL,buzzfeed
65,U.S. attorney sees no rush to arraign Rahami in federal court,REAL,buzzfeed
66,Donald Trump's rise puts Ted Cruz in a bind,REAL,buzzfeed
67,Trump hits Clinton on Islamic State: <U+2018>It is time for change<U+2019>,REAL,buzzfeed
68,Bridgegate: Port Authority officials planned to make Fort Lee 'traffic jam as bad as possible',REAL,buzzfeed
69,Bono: <U+2018>Trump is potentially the worst idea that ever happened to America<U+2019>,REAL,buzzfeed
70,2016 race tightens in Florida,REAL,buzzfeed
71,HuffPo Just Dropped The Mic On Internet Polls Saying Trump Crushed Hillary In Last Night<U+2019>s Debate,REAL,buzzfeed
72,Kaine: 'Everybody knows' Libertarians won't win,REAL,buzzfeed
73,Watch Joe Biden Take Trump<U+2019>s Own Words And Tear Him To SHREDS After Debate (VIDEO),REAL,buzzfeed
74,U.S. mistakenly granted citizenship to hundreds of immigrants,REAL,buzzfeed
75,Insiders: The heat is on Hillary,REAL,buzzfeed
76,Donald Trump Jr. Just Pinned A Tweet So Stupid It Will Make Your Eyes Bleed,REAL,buzzfeed
77,More Milestone Moments for Donald Trump!,REAL,buzzfeed
78,Donald Trump retreats to friendly media ground,REAL,buzzfeed
79,Pence gives no specifics on why Trump Foundation story is inaccurate,REAL,buzzfeed
80,Details Emerge About NYC Bomb Suspect Ahmad Khan Rahami,REAL,buzzfeed
81,Trump<U+2019>s puzzling pitch to black voters,REAL,buzzfeed
82,Joe Arpaio: Trump didn<U+2019>t call Obama<U+2019>s birth certificate <U+2018>legitimate<U+2019>,REAL,buzzfeed
83,Obama looks for peace opening in final meeting with Netanyahu,REAL,buzzfeed
84,McAuliffe hangs with Willie Nelson -- and his weed,REAL,buzzfeed
85,The Mystery of Trump<U+2019>s Man in Moscow,REAL,buzzfeed
86,"It's ""Trump is HITLER"" Month at the Washington Post",REAL,buzzfeed
87,Obama<U+2019>s team isn<U+2019>t laughing at Trump anymore,REAL,buzzfeed
88,"Georgia poll: Donald Trump, Hillary Clinton in tight race",REAL,buzzfeed
89,Chelsea Handler Gets The Last Word After RNC Chair Attacks Hillary For Not Smiling (VIDEO),REAL,buzzfeed
90,Is Donald Trump qualified to be president?,REAL,buzzfeed
91,Proof The Mainstream Media Is Manipulating The Election By Taking Bill Clinton Out Of Context,FAKE,buzzfeed
92,"Charity: Clinton Foundation Distributed ""Watered-Down"" AIDS Drugs to Sub-Saharan Africa",FAKE,buzzfeed
93,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD,FAKE,buzzfeed
94,Trump<U+2019>s Latest Campaign Promise May Be His Most Horrible One Yet,FAKE,buzzfeed
95,Website is Down For Maintenance,FAKE,buzzfeed
96,Obama Pushes One World Government,FAKE,buzzfeed
97,"Clinton Foundation Spent 5.7% on Charity; Rest Went to ""Salaries"" and ""Other Expenses""",FAKE,buzzfeed
98,WHOA! NEW DISTURBING VIDEO Shows HILLARY'S Campaign Likely FAKED Her Audience At NC Rally * 100percentfedUp.com,FAKE,buzzfeed
99,Is it the Beginning of the End for Hillary Clinton?,FAKE,buzzfeed
100,BREAKING: Obama Just DISGRACED The U.S. By Surrendering To ISIS In Front Of Entire U.N. <U+22C6> US Herald,FAKE,buzzfeed
101,Declassified Docs Show That Obama Admin Created ISIS In 2012 To Use As A 'Tool' <U+22C6> US Herald,FAKE,buzzfeed
102,A Hillary Clinton Administration May be Entirely Run by a FIGUREHEAD,FAKE,buzzfeed
103,BREAKING: Did Hillary Clinton Have a Nervous Breakdown,FAKE,buzzfeed
104,Website is Down For Maintenance,FAKE,buzzfeed
105,Trump Just Made A Campaign Promise So Ridiculous It Makes <U+2018>Read My Lips<U+2019> Look Good,FAKE,buzzfeed
106,Top Army Chief of Staff General Has Had It With Obama Incompetence <U+22C6> US Herald,FAKE,buzzfeed
107,Congress MUST Act! Five Days Until Obama's Internet Giveaway [Video],FAKE,buzzfeed
108,"Clemson BANS Memes Featuring Dead Gorilla Harambe...Promotes ""Rape Culture"" and ""Racism""",FAKE,buzzfeed
109,How Democrats are Going to Try to STEAL the Election for Hillary,FAKE,buzzfeed
110,"Michelle Obama Attacks Hillary: ""If You Can<U+2019>t Run Your Own House, You Certainly Can<U+2019>t Run the White House""",FAKE,buzzfeed
111,Website is Down For Maintenance,FAKE,buzzfeed
112,"Why is it ""RACIST"" to Question Someone's Birth Certificate?",FAKE,buzzfeed
113,NYC Terrorist Ahmad Rahami Sued Police Department for <U+2018>Religious Persecution<U+2019> in 2011! <U+22C6> Freedom Daily,FAKE,buzzfeed
114,Fast Food CEO Threatens To Fire Everyone If A Democrat Wins The Presidency,FAKE,buzzfeed
115,Website is Down For Maintenance,FAKE,buzzfeed
116,Angela Merkel Admits Bringing In Muslim Refugees Was A Big Fat Mistake,FAKE,buzzfeed
117,"DISGUSTING! Because Of Hillary & Obama, NY Terrorist Will Get Better Treatment Than US Vets! <U+22C6> Freedom Daily",FAKE,buzzfeed
118,DESPICABLE! Hillary Wants To Put Hero Cop Who Stopped Mall Terror Attack Out Of BUSINESS <U+22C6> Freedom Daily,FAKE,buzzfeed
119,UNFIT! Look What Hillary Needed To Get Up The Stairs At Her Rally Today! <U+22C6> Freedom Daily,FAKE,buzzfeed
120,Website is Down For Maintenance,FAKE,buzzfeed
121,"HILLARY ON DISABLED CHILDREN During Easter Egg Hunt: ""When are they going to get those f*g ree-tards out of here?"" * 100percentfedUp.com",FAKE,buzzfeed
122,No WAY! Liberal Judge Just Made A Law For Black Males To Do This DISGUSTING Thing To Cops <U+22C6> Freedom Daily,FAKE,buzzfeed
123,Former Haitian Senate President: Clinton's Exploited Haiti Earthquake <U+2018>to Steal Billions of Dollars from the Sick and Starving<U+2019> <U+22C6> Freedom Daily,FAKE,buzzfeed
124,BOOM! Merkel Admits Flooding Germany With Muslim Refugees,FAKE,buzzfeed
125,"SICK! Muslim Refugee Beats, Urinates On Pregnant Woman After Seeing What She Has <U+22C6> Freedom Daily",FAKE,buzzfeed
126,Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,FAKE,buzzfeed
127,Female Muslim-American Olympian Bashes U.S.A. <U+2014>Goes Off The Hinges About Why America Sucks! <U+22C6> Freedom Daily,FAKE,buzzfeed
128,Charlotte Thugs Leaves Cop<U+2019>s Body With Disgusting Thing They Did... <U+22C6> Freedom Daily,FAKE,buzzfeed
129,Nasty Surprise: Obama Told Americans That Their Freedom Is Over And,FAKE,buzzfeed
130,Tebow DISMANTLES national anthem protests in one sentence...BOOM! <U+22C6> Freedom Daily,FAKE,buzzfeed
131,BREAKING: Federal Agents Make Massive Discovery at Southern Border<U+2026> ISIS Is Here <U+22C6> Freedom Daily,FAKE,buzzfeed
132,WATCH: Trump Visits Little Haiti In Miami - 'Reporters' FLEE When Clintons Get EXPOSED!,FAKE,buzzfeed
133,Australia Voted To Ban Muslims And Liberals Are Pissed,FAKE,buzzfeed
134,"Two White Men Doused With Gasoline, Set On FIRE By Blacks - Media CENSORED (VIDEO) <U+22C6> Freedom Daily",FAKE,buzzfeed
135,Website is Down For Maintenance,FAKE,buzzfeed
136,"The NFL Told Russell Wilson Not To Speak About His Faith, So He Did Something Fans Couldn't Believe <U+22C6> Freedom Daily",FAKE,buzzfeed
137,The Pope Flat Out Called Fox News Type Journalism <U+2018>Terrorism<U+2019>,FAKE,buzzfeed
138,"HERE IT IS! The Winner of the First Debate Was Just Announced, And the Winner Is<U+2026>",FAKE,buzzfeed
139,Hillary Thought She Won The Debate. Didn't Expect This To Happen To Prove Her Wrong.,FAKE,buzzfeed
140,Multiple Witnesses: Riot Police DID Shoot Unarmed Charlotte Protester In Head,FAKE,buzzfeed
141,"BOMBSHELL: ABC Reveals Trump Paid ""Hundreds Of Millions"" By Russian Oligarchs",FAKE,buzzfeed
142,Bombing Suspect Filed Anti-Muslim Discrimination Lawsuit Against Police,FAKE,buzzfeed
143,"BREAKING: New Jersey Moves To Impeach Chris Christie Over ""Bridgegate""",FAKE,buzzfeed
144,JUST IN: Newsweek Accuses Trump Of Committing A Felony,FAKE,buzzfeed
145,BREAKING: Putin's Troll Army Caught Rigging Twitter To Pretend Trump Won,FAKE,buzzfeed
146,JUST IN: Trump Supreme Court Pick Sued By Feds For Racial Discrimination,FAKE,buzzfeed
147,Note In Arabic Found With NYC Bomb... Call Says There Will Be More Bombings | John Hawkins' Right Wing News,FAKE,buzzfeed
148,Donald Trump Goes Off The Deep End<U+2013>May Be Unfit For Debate,FAKE,buzzfeed
149,Secret Video Records MASSIVE Hillary Event Flop! | John Hawkins' Right Wing News,FAKE,buzzfeed
150,CNN FURIOUS and Embarrassed After Trump Called Them Out For One Major Thing | John Hawkins' Right Wing News,FAKE,buzzfeed
151,New York bomb Suspect SUED Police! | John Hawkins' Right Wing News,FAKE,buzzfeed
152,"Clinton Foundation Spent 5.7% on Charity; Rest Went to ""Salaries"" and ""Other Expenses""",FAKE,buzzfeed
153,Obama's Speech In New York Shocks Americans When He Says THIS About Attacks! | John Hawkins' Right Wing News,FAKE,buzzfeed
154,Bill And Hillary Clinton Have A MAJOR AIDS Scandal!,FAKE,buzzfeed
155,Changing Your Baby's Diaper Is Now A Sex Crime In Arizona - Chicks On The Right,FAKE,buzzfeed
156,Michelle Obama NOT Leaving The White House - Hillary Clinton Has Terrifying New Role For Her!?!? | John Hawkins' Right Wing News,FAKE,buzzfeed
157,New Clinton Foundation SCANDAL Just Broke - This Is What Hillary ACTUALLY Thinks About Black People... | John Hawkins' Right Wing News,FAKE,buzzfeed
158,BREAKING: Judge DEMANDS Release Of Clinton's Security Training Files - She Has 5 Days... | John Hawkins' Right Wing News,FAKE,buzzfeed
159,Networks Confirm They Will Not Be Fact-Checking Donald Trump In Any Way,FAKE,buzzfeed
160,"Decades-Old Clinton Friend Comes Forward, Says She Knows What's Happening to Hillary",FAKE,buzzfeed
161,"Mayor TELLS Muslim Refugees: <U+2018>We Don<U+2019>t Adapt To Your Culture, You Adapt To Ours<U+2019>",FAKE,buzzfeed
162,White Guy Walled In Car By BlackLivesMatter Protesters - They See What He's Brandishing And Scatter... | John Hawkins' Right Wing News,FAKE,buzzfeed
163,Chicago Environmentalist Scumbags,FAKE,buzzfeed
164,Obama: <U+201C>I bet when I die you<U+2019>ll be happy to pee on my grave.<U+201D> - I Have The Truth,FAKE,buzzfeed
165,SURPRISE! 70% Of Charlotte RIOTERS Are Not From There - Guess What That Means... [VIDEO] | John Hawkins' Right Wing News,FAKE,buzzfeed
166,Hillary's DEAD!?!? Brand New Theory Has Serious PROOF,FAKE,buzzfeed
167,EXPOSED: Soros Funding FAKE Veterans' PAC To Take Trump Down | John Hawkins' Right Wing News,FAKE,buzzfeed
168,OUTRAGE! Obama Spends $770M Dollars In Tax Payer Money To Renovate Mosques Over Seas... [VIDEO] | John Hawkins' Right Wing News,FAKE,buzzfeed
169,BOOM! Marines Send TERRORISTS Scathing Message [VIDEO] | John Hawkins' Right Wing News,FAKE,buzzfeed
170,BOOM! Charlotte Officials FINALLY Silence Rioters With One E P I C Announcement! [VIDEO] | John Hawkins' Right Wing News,FAKE,buzzfeed
171,BREAKING: Steps to FORCE FBI Director Comey to Resign In Process - Hearing Decides His Fate Sept 28 | John Hawkins' Right Wing News,FAKE,buzzfeed
172,Hillary's TOP Donor Country Just Auctioned Off ISIS Sex Slaves... | John Hawkins' Right Wing News,FAKE,buzzfeed
173,BREAKING: Cavuto Just Exposed Lester Holt's Lies During Debate,FAKE,buzzfeed
174,"DEAR CNN: The AP, In 2004, Said Your Boy Obama Was BORN In This Particular Country",FAKE,buzzfeed
175,People Noticed Something Odd About Hillary's Outfit - Do You See It?,FAKE,buzzfeed
176,People Noticed Something Odd About Hillary's Outfit at the Debate Last Night | John Hawkins' Right Wing News,FAKE,buzzfeed
177,Muslims BUSTED They Stole Millions In Govt Benefits,REAL,vcorpus
178,Re Why Did Attorney General Loretta Lynch Plead The Fifth,REAL,vcorpus
179,BREAKING Weiner Cooperating With FBI On Hillary Email Investigation,REAL,vcorpus
180,PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS I have voted for Donald J Trump  100percentfedUpcom,REAL,vcorpus
181,FANTASTIC TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell  100percentfedUpcom,REAL,vcorpus
182,Hillary Goes Absolutely Berserk On Protester At Rally Video,REAL,vcorpus
183,BREAKING NYPD Ready To Make Arrests In Weiner CaseHillary Visited Pedophile Island At Least 6 TimesMoney Laundering Underage Sex PayforPlayProof of Inappropriate Handling Classified Information  100percentfedUpcom,REAL,vcorpus
184,WOW WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District VIDEO  100percentfedUpcom,REAL,vcorpus
185,BREAKING CLINTON CLEAREDWas This A Coordinated Last Minute Trick To Energize Hillary's Base  100percentfedUpcom,REAL,vcorpus
186,EVIL HILLARY SUPPORTERS Yell Fck TrumpBurn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump BumperStickers VIDEO  100percentfedUpcom,REAL,vcorpus
187,YIKES HILLARY GOES OFF THE RAILSPulls A Howard Dean Video,REAL,vcorpus
188,SAY GOODBYE These 23 Hollywood Celebs Threatened To Leave The USLet's Hold Them To It  100percentfedUpcom,REAL,vcorpus
189,NOT KIDDING Colleges Give Students Safe Spaces To Cry Over Trump WinThreaten Students Over ProTrump Chalkings,REAL,vcorpus
190,BOOM MATH SHOWS Trump Would Have Beaten Obama In RomneyObama Election  100percentfedUpcom,REAL,vcorpus
191,BOOM This Is How President Reagan Handled Protesters Negotiate What is there to negotiate Video  100percentfedUpcom,REAL,vcorpus
192,TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering AntiTrump Rioters Video,REAL,vcorpus
193,TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won VIDEO  100percentfedUpcom,REAL,vcorpus
194,BoycottComedianROBERT DENIRO Wanted To Punch Trump In The FaceSupports AntiTrump RiotersNow Wants Americans To Support His New Movie VIDEO,REAL,vcorpus
195,HES NEVER SOLD AN ORIGINAL PAINTING UNTIL NOWAnd This Ones Going In The White House,REAL,vcorpus
196,SORRY LIBERALSYou Can Stop With The PetitionsHillary Did NOT Win The Popular Vote,REAL,vcorpus
197,MARK CUBAN In The Event Donald Wins I Have No Doubt The Market TanksSo Here's What REALly Happened VIDEO  100percentfedUpcom,REAL,vcorpus
198,TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks What Happened To America VIDEO,REAL,vcorpus
199,WOW WHITE Liberals Suggest Blacks Are Too Stupid To Get IDsCant Figure Out How To Use Internet VIDEO,REAL,vcorpus
200,LOL BRITISH WIFE Of LIB ACTOR Who Said There Will Never Be A President Donald TrumpWarns Americans About PresidentElect Trump VIDEO,REAL,vcorpus
201,EPIC TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities Video,REAL,vcorpus
202,FUNNY SNLS SOLUTION To Democrat Election Denial Safe Space For Everyone Video,REAL,vcorpus
203,DONALD TRUMP Calls Meeting With PressDresses Down REAL FAKE News Networks Everyone at CNN is a liar and you should be ashamed,REAL,vcorpus
204,OOPS CRYBABY HAMILTON STARS Who Lectured Pence Haven't Voted In Years VIDEO  100percentfedUpcom,REAL,vcorpus
205,WHITE TRUMPBASHING LIB Reprimanded On LIVE CNN Interview For Using NWord VIDEO,REAL,vcorpus
206,BOOM Kellyanne Conway Shuts Down CNNs Cuomo,REAL,vcorpus
207,SHARIA IN AMERICA How Minneapolis Muslims Are Still Being Recruited By Terrorists,REAL,vcorpus
208,SHERIFF CLARKE On Obamas Final Days Obamas Like A Tenant Whos Been Evicted From A Property And Hes Gonna Trash The Place On The Way Out The Door VIDEO,REAL,vcorpus
209,ANTITRUMP CROWD CHANTS Whats Better Than 11 Dead Cops 12 Dead CopsThree Police Officers Ambushed The Same Weekend Video,REAL,vcorpus
210,Intl Community Still Financing Protecting Terrorists  Mother Agnes Vanessa Beeley on Syria,FAKE,vcorpus
211,FBI Director Comeys Leaked Memo Explains Why Hes Reopening the Clinton Email Case,FAKE,vcorpus
212,FBI REDUX Whats Behind New Probe into Hillary Clinton Emails,FAKE,vcorpus
213,PARTY CORRUPTION Clinton Campaign Directly Tied to Disgraced DNC Consultant,FAKE,vcorpus
214,Hillarys Russian Hack Hoax The Biggest Lie of This Election Season,FAKE,vcorpus
215,PARTNERS IN CRIME Goldman Sachs The Clintons  Wall Street,FAKE,vcorpus
216,WikiLeaks Hillary Clinton knew Saudi Qatar were funding ISIS  but still took their money for Foundation,FAKE,vcorpus
217,Hillary Clinton Jumps the Shark with Trumps Secret Russian Server Conspiracy Theory,FAKE,vcorpus
218,Prof Michel Chossudovsky discusses Hillary Clintons foreign policy  emerging nuclear risks,FAKE,vcorpus
219,Episode 159  SUNDAY WIRE TickTock USA with guests Dr Marcus Papadopoulos Basil Valentine,FAKE,vcorpus
220,KREMLIN Putin Congratulates Trump Hopes to Work Together Major Issues,FAKE,vcorpus
221,Americas Primal Scream David Icke Explains Reason for Trumps Election Result,FAKE,vcorpus
222,Mexicos Richest Oligarch Loses Billions on News of Trump Victory,FAKE,vcorpus
223,Beyonce Jay Z Hillary Clinton  You Dont Represent All Blacks Women,FAKE,vcorpus
224,VIDEO Female College Students Protesting Because Trump is a Rapist,FAKE,vcorpus
225,COLOR REV AGIT PROP George Soros MoveOn Agitators March on America  as Billionaire Instigator Sued,FAKE,vcorpus
226,Henningsen US AntiTrump Protests Similar to Soros Color Revolutions Abroad,FAKE,vcorpus
227,PostTrump Liberal Meltdown Counseling Cryins Therapy Dogs and Poetry,FAKE,vcorpus
228,Episode 160  SUNDAY WIRE Hail to the Deplorables with special guest Randy J,FAKE,vcorpus
229,CBS 60 Minutes Withheld Trumps Appeal to Stop Attacking Minorities and Ignored Reports of Attacks on Trump Supporters,FAKE,vcorpus
230,FLASHBACK  Hillary Clintons KKK Smear Against Trump was Democrat Strategy,FAKE,vcorpus
231,Hillary Clinton Supporters Now Calling for a Recount of Votes in Battleground States,FAKE,vcorpus
232,Hell Comes to Frogtown Alt Right and Triumph of Transhumanism,FAKE,vcorpus
233,EU Red Scare Brussels Passes New Resolution to Counter Russian Media Propaganda,FAKE,vcorpus
234,The Amish In America Commit Their Vote To Donald Trump Mathematically Guaranteeing Him A Presidential Victory  ABC News,FAKE,vcorpus
235,Obama Signs Executive Order Declaring Investigation Into Election Results Revote Planned For Dec 19th  ABC News,FAKE,vcorpus
236,A Tale Of Two Cities Mosul And Aleppo,FAKE,vcorpus
237,New Alaska Law Taking First Step Against Common Core,FAKE,vcorpus
238,Military Veteran Bonus Scandal Might Be Much Worse Than Initially Reported,FAKE,vcorpus
239,NATO US And UK Assemble Largest Troop Buildup On Russian Border Since Cold War,FAKE,vcorpus
240,Destruction of US Abrams Tank Mosul Offensive Good for General Dynamics,FAKE,vcorpus
241,A Conundrum of the Current Political Season,FAKE,vcorpus
242,Liberty or State Control You Decide,FAKE,vcorpus
243,Snowden Journalists Are a Threatened Class in Era of Mass Surveillance,FAKE,vcorpus
244,We Now Have Proof Obamacare Was Designed to Fail and Heres Why,FAKE,vcorpus
245,NoFly Zone Declared as Militarized Police Prep for Assault on FrontLine Camp at Standing Rock,FAKE,vcorpus
246,Anonymity The Greatest Weapon Against Oppression,FAKE,vcorpus
247,US Takes A Stab At A No Fly Zone In Two Places  Syria And Standing Rock,FAKE,vcorpus
248,5 Things You Need to Know About the Dakota Access Pipeline Protests,FAKE,vcorpus
249,Americans Preparing for Strong Possibility of Violence on Election Day,FAKE,vcorpus
250,Irony Redefined Human Rights Champion Suu Kyi Jails Dissidents,FAKE,vcorpus
251,We Live In A Time Where Each Individual Has Immense Power,FAKE,vcorpus
252,Technocracy The REAL Reason Why The UN Wants Control Over The Internet,FAKE,vcorpus
253,Financial Whistleblower Explains Whats About to Happen to the Economy,FAKE,vcorpus
254,Distracted By Election 2016 No One Resisted The Deep States Patriot Act 2,FAKE,vcorpus
255,How HUD Makes Lousy Programs Look Great,FAKE,vcorpus
256,On The Fault Lines of Change GlobalizationvLocalization,FAKE,vcorpus
257,Blaming Russia For Everything Wrong in the US is Getting Dangerous,FAKE,vcorpus
258,FBI Reopens Hillary Email Probe Why Did It Take So Long,FAKE,vcorpus
259,Restaurant Chain Tim Hortons Blocks Independent Journalists Website on WiFi,FAKE,vcorpus
260,Russia Kicked Off UN Human Rights Council While Terrorist Saudi Arabia ReElected,FAKE,vcorpus
261,Like a Concentration Camp Police Mark DAPL Protesters with Numbers and Lock Them in Dog Kennels,FAKE,vcorpus
262,Mark Ruffalo Delivers Mobile Solar Trailers to Standing Rock Camps in Preparation for Harsh Winter,FAKE,vcorpus
263,Cancer Cancer Everywhere  But Not In The Presidential Suite,FAKE,vcorpus
264,The Globalization Of Media A Failing Strike Force,FAKE,vcorpus
265,Heres Why Everyone On Facebook Is Checking Into Standing Rock North Dakota,FAKE,vcorpus
266,Chinas Airport Security Robot Can Deliver Electroshocks,FAKE,vcorpus
267,Russia Japan May Finally Sign Peace Treaty to Officially End WWII Conflict,FAKE,vcorpus
268,Biggest Election Fraud In History Discovered In The United States,FAKE,vcorpus
269,DAPL Protesters Proven Right as Largest Gas Pipeline in US Experiences Massive and Deadly Explosion,FAKE,vcorpus
270,Not Just Hillary Entire Obama Administration Exposed for Using Private Email to Avoid FOIA Requests,FAKE,vcorpus
271,Former Ambassador Andrew Young Calls for End to Water Fluoridation Civil Rights Issue,FAKE,vcorpus
272,Johnson  Johnson Loses Yet Another Multimillion Dollar Case Over Baby Powder,FAKE,vcorpus
273,Latest Assault on Aleppo West Covers Up TerrorTies,FAKE,vcorpus
274,Obamacare forces companies to drop workers from private insurance,FAKE,vcorpus
275,Feds Ramp Up REAL ID Bullying Tactics,FAKE,vcorpus
276,ATT Helping Feds Spy On Everyone,FAKE,vcorpus
277,Critics Decry Surveillance of Canadian Journalist as Part of Horrifying Culture Shift,FAKE,vcorpus
278,Turkeys Crackdown on Criticism Continues as Journalists 10K Civil Servants Arrested,FAKE,vcorpus
279,AntiISIS Coalition Too Busy Defeating Themselves to Defeat ISIS,FAKE,vcorpus
280,Someone Just Donated 25 Million to Bail Out Everyone Arrested at Standing Rock,FAKE,vcorpus
