"","X","title","label","platform"
"19",19,"BUSTED: Russian Mansions Obama Seized Were Meant To Be Illegal Gifts To Sasha And Malia","fake","politifact"
"20",20,"Barack Obama Tweets SICK Attack On John McCain, Says He Should Have Died - BREAKING!","fake","politifact"
"21",21,"Wasserman Schultz Going To Mental Hospital After What She Did Overnight Desperate To Escape Arrest - usadailynews24","fake","politifact"
"22",22,"ELECTORAL COLLEGE ELECTOR COMMITS SUICIDE TO AVOID VOTING FOR DONALD TRUMP - Universe Politics","fake","politifact"
"23",23,"Donald Trump Dead From A Fatal HEART ATTACK!","fake","politifact"
"24",24,"Pope Francis To Followers: <U+201C>Koran And Holy Bible Are The Same<U+201D>","fake","politifact"
"25",25,"Mom applies a remedy to her baby, moments later he dies. Be careful with this, moms!","fake","politifact"
"26",26,"Bill Murray Had This to Say About Rochester, New Hampshire Residents","fake","politifact"
"27",27,"Page not found - enhlive","fake","politifact"
"28",28,"Donald Trump warns outgoing Ghana President","fake","politifact"
"29",29,"Denzel Washington Switches to Trump Shocks Hollywood-, Speaks Out Against Obama - American Politic","fake","politifact"
"30",30,"BREAKING: Meryl Streep Just Got Fired From A Major Project For Lying About Trump","fake","politifact"
"31",31,"Mike Pence: <U+201C>Allowing Rape Victims To Have Abortions Will Lead To Women Trying To Get Raped<U+201D>","fake","politifact"
"32",32,"BREAKING! President Trump Makes ENGLISH The OFFICIAL LANGUAGE OF THE United States!","fake","politifact"
"33",33,"Bill Gates: <U+201C>I think Donald Trump  will go down to history as one of the greatest presidents, just like Reagan.<U+201D>","fake","politifact"
"34",34,"Harambe, A Dead Gorilla, Got Over 15,000 Votes For President Of The Unites States - Daily Snark","fake","politifact"
"35",35,"BREAKING: Trump Caught INVESTING in Dakota Pipeline Before Signing It","fake","politifact"
"36",36,"Radical Muslims in Australia OFFENDED That Their Children Have to Sing the National Anthem","fake","politifact"
"37",37,"John Hagee Calls For <U+201C>Prosecuting Women Who Say God<U+2019>s Name During Intercourse<U+201D>","fake","politifact"
"38",38,"JAPANESE WHALING CREW EATEN ALIVE BY KILLER WHALES, 16 DEAD","fake","politifact"
"39",39,"Starbucks Just Placed Trump<U+2019>s Photo on Floor so Every Customer have to Step On It<U+2026>.","fake","politifact"
"40",40,"BREAKING: Trump Just Gave Every WORKING, LEGAL Man Woman And Child In The USA $612 EACH!","fake","politifact"
"41",41,"The CNN porn scare is how fake news spreads","fake","politifact"
"42",42,"Stephen Bannon: <U+201C>Nobody Can Blame You For Beating Your Wife If It<U+2019>s Out Of Love<U+201D>","fake","politifact"
"43",43,"MAN PARDONED BY OBAMA 3 MONTHS AGO ARRESTED FOR MURDER | The Underground Report","fake","politifact"
"44",44,"Whoopi Goldberg: Navy SEAL Widow was ""Looking for Attention"" | The Underground Report","fake","politifact"
"45",45,"BREAKING: FBI Issues Warrant For Obama<U+2019>s Arrest After Confirming Illegal Trump Tower Wiretap","fake","politifact"
"46",46,"Home","fake","politifact"
"47",47,"JUST IN: Snoop Dogg Arrested For Conspiracy After Talking About His <U+2018>Murder Trump<U+2019> Video","fake","politifact"
"48",48,"Lady Gaga Reveals Plan To Cover Her Face Again ""Until Trump Gets Fired From Office And I Feel Free Once More""","fake","politifact"
"49",49,"BREAKING: President Trump Just Told Paul Ryan <U+2018>You<U+2019>re Fired<U+2019>","fake","politifact"
"50",50,"NBC Just Fired Megyn Kelly Before Her New Show Begins","fake","politifact"
"51",51,"New York Man Wanted For Infecting 240 Men And Women With HIV!!!","fake","politifact"
"52",52,"South African firm ordered to lay off 3,389 white employees","fake","politifact"
"53",53,"Colorado Rockies Baseball Team To Sell Marijuana Brownies At Their Concession Stands","fake","politifact"
"54",54,"WBN 12 News","fake","politifact"
"55",55,"Police Find 19 White Female Bodies In Freezers With <U+201C>Black Lives Matter<U+201D> Carved Into Skin - TRENDING","fake","politifact"
"56",56,"Page not found - Bipartisan Report","fake","politifact"
"57",57,"2 Liberal Democrat Congressmen Arrested For Planning Trump<U+2019>s Assassination - Proud Leader","fake","politifact"
"58",58,"Evangelical Leader Says Those Who Oppose Trump Could Be <U+201C>Punished<U+201D> with Gay Child","fake","politifact"
"59",59,"Kasich: <U+201C>If A Woman Is Not Intelligent Enough To Keep Her Legs Closed, How Can We Entrust The Abortion Decision To Her?<U+201D>","fake","politifact"
"60",60,"Vin Diesel Had This to Say About the Residents of Rockford, Illinois","fake","politifact"
"61",61,"Texas law enforcement officer fatally shot upon arriving for work by 3 muslim refugee. Do you support to deport them? - UsafirstInfo","fake","politifact"
"62",62,"Tampa man loses testicles after trying to 'fill scuba tank with weed smoke'","fake","politifact"
"63",63,"United Airlines Flight Attendant Slaps Crying Baby During Flight - Now8News","fake","politifact"
"64",64,"BREAKING: MALIA OBAMA EXPELLED FROM HARVARD","fake","politifact"
"65",65,"Trump on Revamping the Military: We're Bringing Back the Draft","fake","politifact"
"66",66,"I Love Native Americans","fake","politifact"
"67",67,"Page not found - USA News For You","fake","politifact"
"68",68,"BREAKING: Conservative Icon Ted Nugent Killed In Hunting Accident","fake","politifact"
"69",69,"BREAKING: Bill O<U+2019>Reilly In Critical Condition After Being Attacked By <U+2018>Tolerant<U+2019> Liberals","fake","politifact"
"70",70,"BREAKING NEWS: Road racing cyclist Lance Armstrong has died","fake","politifact"
"71",71,"BREAKING: Fox Star Tucker Carlson In Critical Condition After Head On Collision Driving Home","fake","politifact"
"72",72,"Pence: <U+201C>Michelle Obama Is The Most Vulgar First Lady We<U+2019>ve Ever Had<U+201D>","fake","politifact"
"73",73,"FBI Uncovers Evidence That 62 Million Trump Voters are All Russian Agents! - Us Politics Info","fake","politifact"
"74",74,"JEFFERSON DAVIS STATUE TO BE REPLACED WITH OBAMA LIKENESS","fake","politifact"
"75",75,"Family's private investigator: There is evidence Seth Rich had contact with WikiLeaks prior to death","fake","politifact"
"76",76,"Donald Trump Praises Colonel Sanders for His Service in the Civil War | The Red Shtick","fake","politifact"
"77",77,"NASA Will Pay You $18,000 To Stay In Bed And Smoke Weed For 70 Straight Days","fake","politifact"
"78",78,"BOMBSHELL: COMEY KNEW MURDERED DNC STAFFER, SETH RICH, WAS WIKILEAKS SOURCE & COVERED IT UP FOR HILLARY","fake","politifact"
"79",79,"Obama Canceled It, Trump Reinstated It <U+2013> A Very Sacred Day is Back -","fake","politifact"
"80",80,"Trump Authorizes Congress To Pursue Criminal Charges Against Hillary - SHOULD THEY PROCEED?","fake","politifact"
"81",81,"Rubio: <U+201C>Rape Victims Should Be In Custody If There Is Suspicion That They<U+2019>re Planning Abortion<U+201D>","fake","politifact"
"82",82,"BREAKING: Monica Lewinsky Found Dead In Roslindale","fake","politifact"
"83",83,"Sarah Palin Calls To Boycott Mall Of America Because <U+201C>Santa Was Always White In The Bible<U+201D>","fake","politifact"
"84",84,"Trump Removing Marines From the Navy","fake","politifact"
"85",85,"Edward Snowden: Osama Bin Laden is Still Alive Living in the Bahamas","fake","politifact"
"86",86,"Keanu Reeves Shock The World With Another Powerful Message","fake","politifact"
"87",87,"The DEA Just Raided A United States Senator<U+2013>Dems In A Panic","fake","politifact"
"88",88,"Page not found - News For Me Today","fake","politifact"
"89",89,"Democrat Maxine Waters Has Shown Up To Only 10% Of Congressional Meetings For 35 YEARS","fake","politifact"
"90",90,"Liberal Women Hate Me Because Of My ""Striking Beauty And Intellect"", Says KellyAnne Conway","fake","politifact"
"91",91,"Cannibals Arrested in Florida Claim Eating Human Flesh Cures Diabetes and Depression","fake","politifact"
"92",92,"Libtard Hero Al Franken Forced To Resign In Disgrace - Breaking","fake","politifact"
"93",93,"Chinese Lunar Rover Finds No Evidence Of American Moon Landings!","fake","politifact"
"94",1,"Trump Just Insulted Millions Who Lost Everything In Bush's Recession, ""That's Just Business""","real","politifact"
"95",2,"Trump Just Insulted Millions Who Lost Everything In Bush's Recession, ""That's Just Business""","real","politifact"
"96",3,"Famous dog killed in spot she waited a year for her owner to return to! [VIDEO] | John Hawkins' Right Wing News","real","politifact"
"97",4,"House oversight panel votes Clinton IT chief in contempt","real","politifact"
"98",5,"America Just Tragically Lost A Country Music Icon, Please Pray For Jean Shepard<U+2019>s Family","real","politifact"
"99",6,"Monuments to the Battle for the New South","real","politifact"
"100",7,"RACE TIED on debate day; Colo. and Pa. have turned tight -- CLINTON hosting more than 1,200 watch parties -- THE PLAYBOOK INTERVIEW: Stephanie Schriock -- B<U+2019>DAY: Dave Weigel","real","politifact"
"101",8,"Giuliani slams Lester Holt for fact-checking like Candy Crowley","real","politifact"
"102",9,"Kaine doesn't feel bad for Pence","real","politifact"
"103",10,"Anti-Trump Super PAC Launches Pre-Debate Video","real","politifact"
"104",11,"Glenn Beck shares buyer's remorse on Cruz endorsement","real","politifact"
"105",12,"Governor defends providing medical care for bombing suspect","real","politifact"
"106",13,"Clinton economy speech to focus on valuing people with disabilities","real","politifact"
"107",14,"Trump: 'I was going to say something extremely rough' to Clinton","real","politifact"
"108",15,"The 8 Biggest Unforced Errors in Debate History","real","politifact"
"109",16,"Trump Calls For This Racist Policy To Be Forced On Every State","real","politifact"
"110",17,"Obama Claims It Will Be A Personal Insult If You Don't Vote For Hillary [VIDEO] | John Hawkins' Right Wing News","real","politifact"
"111",18,"Robert Kennedy Would Have Hated Donald Trump","real","politifact"
"112",19,"Is West Virginia Holding America<U+2019>s Weirdest Election?","real","politifact"
"113",20,"This Was the Trump Hillary Wanted America to See<U+2014>But Did It Work?","real","politifact"
"114",21,"Pence: There's too much talk of police department 'racism'","real","politifact"
"115",22,"Trump Jr. Once Again Shows His Lack Of Humanity With Disgusting Tweet About Syrian Refugees","real","politifact"
"116",23,"Clinton demands Charlotte police video release 'without delay'","real","politifact"
"117",24,"Muslim Afghani Rapes 2-YEAR-OLD, Gets 2 Years in Prison...Declares Himself 'Superstar'","real","politifact"
"118",25,"Trump needles Clinton: <U+2018>Sleep well Hillary <U+2014> see you at the debate!<U+2019>","real","politifact"
"119",26,"TRUTH COMES OUT! Keith Lamont Scott's Did This To His Wife Last Year and She Said ""He is a Killer"" <U+22C6> Freedom Daily","real","politifact"
"120",27,"Trump Won<U+2019>t Tell America Where His Products Are Made, So Here<U+2019>s A Handy Guide (IMAGES)","real","politifact"
"121",28,"Black Caucus marches to DOJ to protest shootings","real","politifact"
"122",29,"Trump Silent As Police Credit A Sikh Immigrant With Capturing NYC Bomber","real","politifact"
"123",30,"Clinton on Trump's birther claim: A 'racist lie'","real","politifact"
"124",31,"When does early voting start in every state?","real","politifact"
"125",32,"Rep. Peter King: We shouldn't be 'pandering' to political correctness","real","politifact"
"126",33,"28-year-old man sought in Manhattan blast","real","politifact"
"127",34,"UNHINGED: Trump Campaign Chair Says Racism Didn't Exist Before Obama In Viral Rant","real","politifact"
"128",35,"Christie among the most unpopular governors in the country, poll finds","real","politifact"
"129",36,"Trump, Clinton Spar Over Taxes in 1st Presidential Debate","real","politifact"
"130",37,"Look What Was Just SPOTTED Inside The Student Center At Hofstra University","real","politifact"
"131",38,"Early Voting In North Carolina Shows GREAT NEWS For Democrats","real","politifact"
"132",39,"Officer Dies After Suspect Spat On Her Face (Photos)","real","politifact"
"133",40,"UK Begins Construction On ""Great Wall"" - Meant to Keep Illegal Migrants OUT (VIDEO) | John Hawkins' Right Wing News","real","politifact"
"134",41,"Donald Trump, Germany<U+2019>s disfavored son","real","politifact"
"135",42,"McCrory calls state of emergency in Charlotte after unrest","real","politifact"
"136",43,"Trump Calls for Nationwide Stop-and-Frisk Policy, Then Rolls It Back","real","politifact"
"137",44,"UN to resume Syria aid deliveries","real","politifact"
"138",45,"KISS' Gene Simmons: ""You Want to Win the War on Terror? Profile Everyone, Profile ME!"" [VIDEO] | John Hawkins' Right Wing News","real","politifact"
"139",46,"Kerry says Syrian diplomacy at impasse after truce collapses","real","politifact"
"140",47,"Ford Motor CEO Says Trump Is Lying AGAIN! Company Is NOT Moving U.S. Operations To Mexico","real","politifact"
"141",48,"BREAKING: Toby Keith Forced To Cancel Show, I Didn<U+2019>t Expect This","real","politifact"
"142",49,"Clinton, Trump meet world leaders for very different reasons","real","politifact"
"143",50,"Road to 270: CNN's new election map","real","politifact"
"144",51,"North Korea at UN: US faces 'tremendous consequences'","real","politifact"
"145",52,"Trump Challenges Hillary to DISARM Her Bodyguards: <U+201C>See What Happens to Her!<U+201D> [VIDEO]","real","politifact"
"146",53,"BREAKING: Massive Protests Erupt In North Carolina After Police Kill Disabled Black Man","real","politifact"
"147",54,"LA Police Commission Tells Officers How To Deal With Armed Suspects And It Is INSANE <U+22C6> Freedom Daily","real","politifact"
"148",55,"ABC News","real","politifact"
"149",56,"Worst. President. Ever.","real","politifact"
"150",57,"Texas, California Separatists Attend Kremlin-Funded Conference","real","politifact"
"151",58,"Obama, in an awkward twist, becomes Saudi Arabia's defender","real","politifact"
"152",59,"McConnell punts budget vote to buy time for deal","real","politifact"
"153",60,"Former Miss Universe sizes up Melania Trump: 'I think I speak more English'","real","politifact"
"154",61,"Ivanka Trump to meet with women GOPers at RNC","real","politifact"
"155",62,"Barney Frank: Tea party outmaneuvered Dems","real","politifact"
"156",63,"Howard Dean ROASTS Trump Over Debate Sniffles: <U+2018>Coke User<U+2019>? (TWEETS)","real","politifact"
"157",64,"Obama: 'There's a reason why we haven't had a woman President'","real","politifact"
"158",65,"First Lady jokes about Trump plagiarism: ""Yeah, that was tough""","real","politifact"
"159",66,"Trump Gets ANNIHILATED On Twitter After He Pretends He Didn<U+2019>t Just Trash Police Officers (TWEETS)","real","politifact"
"160",67,"Good News Folks, God Is Now Protecting Donald Trump From A <U+2018>Concentrated Satanic Attack<U+2019> (VIDEO)","real","politifact"
"161",68,"McConnell, Pelosi, Ryan seek deal on government funding impasse","real","politifact"
"162",69,"Libertarian candidates: We will alter course of the election","real","politifact"
"163",70,"Trump hints Obama to blame for Charlotte unrest","real","politifact"
"164",71,"US boy asks Obama if he can adopt refugee","real","politifact"
"165",72,"JUST IN: New York Times Will FINALLY Start Calling Trump A ""Liar""","real","politifact"
"166",73,"Trump 'happy' he didn't bring up Bill Clinton's affairs","real","politifact"
"167",74,"How Congress Can Override President Obama's Veto of the 9/11 Bill","real","politifact"
"168",75,"Trump Campaign Chair Says Racism Didn<U+2019>t Exist Before Obama <U+2013> Promptly Resigns","real","politifact"
"169",76,"Obama, Biden honor Arnold Palmer","real","politifact"
"170",77,"DOJ: Chinese company tried to evade U.S. sanctions against North Korea","real","politifact"
"171",78,"Debate breaks record as most-watched in U.S. history","real","politifact"
"172",79,"NATO chief counterattacks against Donald Trump","real","politifact"
"173",80,"Reality Check: Was 'stop-and-frisk' effective?","real","politifact"
"174",81,"Trump Jr. defends Skittles tweet","real","politifact"
"175",82,"Obama nominates ambassador to Cuba in long-shot move","real","politifact"
"176",83,"Conservatives Throw A Hissy Fit Because Michelle Obama Talked About Slavery At Black History Museum","real","politifact"
"177",84,"National poll: Clinton leads Trump by 6 points","real","politifact"
"178",85,"Hateful Arizona Pastor Deported From Botswana After Saying Gays Should Be <U+2018>Stoned to Death<U+2019> (VIDEO)","real","politifact"
"179",86,"Twitter Just Wrecked Donald Trump After Horrible Attack On <U+2018>Black Communities<U+2019> (TWEETS)","real","politifact"
"180",87,"Meet This Week's White Texan Terrorist Trump Isn't Talking About","real","politifact"
"181",88,"McConnell plays hardball in spending fight","real","politifact"
"182",89,"What the US government can and cannot do to US citizens suspected of terrorism","real","politifact"
"183",90,"Trump received $1.6 million from Secret Service","real","politifact"
"184",91,"ABC News","real","politifact"
"185",92,"Ivanka Trump, Paul Ryan meet","real","politifact"
"186",93,"Schumer transfers millions to Dems in bid for Senate takeover","real","politifact"
"187",94,"Trump Said Not Paying Taxes Makes Him ""Smart."" Mark Cuban's Response Is Powerful","real","politifact"
"188",95,"Emmy winner compares 'monster' Trump to Hitler","real","politifact"
"189",96,"Airstrikes Bury Syrians in Aleppo","real","politifact"
"190",97,"America's relationships are on the line <U+2014> no matter who wins","real","politifact"
"191",98,"Terrorism: The Word Liberals are TERRIFIED Of","real","politifact"
"192",99,"Clint Eastwood Had Enough, Blows Up On Hillary And Obama<U+2026> Liberals","real","politifact"
"193",100,"Italian prime minister jokes about Bill Clinton as 'first gentleman'","real","politifact"
"194",101,"WWII Veteran Pens Brutal Op-Ed Slamming Draft-Dodging Trump","real","politifact"
"195",102,"Louisiana Cop Claims Murdering A 6-Year Old Child Was Self-Defense","real","politifact"
"196",103,"Ryan defends Trump, dodges on Machado comment","real","politifact"
"197",104,"Trump launches 'Crooked Hillary' Snapchat filter for debate","real","politifact"
"198",105,"Trump Said Not Paying Taxes Makes Him ""Smart."" Mark Cuban's Response Is Powerful","real","politifact"
"199",106,"Judge Takes One Look At Attorney's Pin, Sentences Her To Five Days In Prison (Photo)","real","politifact"
"200",107,"Charity: Clinton Foundation Distributed ""Watered-Down"" AIDS Drugs to Sub-Saharan Africa","real","politifact"
"201",108,"Trump<U+2019>s High-Energy War on American Politics","real","politifact"
"202",109,"Bill Maher: Donald Trump is RIGHT on Profiling [VIDEO]","real","politifact"
"203",110,"Hillary Clinton prepares for unpredictable Trump at debate","real","politifact"
"204",111,"Donald Trump, Germany<U+2019>s disfavored son","real","politifact"
"205",112,"BREAKING: Hollywood Legend Just Died Of Terrible Disease","real","politifact"
"206",113,"Worst. President. Ever.","real","politifact"
"207",114,"Don King drops N-word while introducing Trump","real","politifact"
"208",115,"Trump Jr. Compares Syrian Refugees to Skittles","real","politifact"
